,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,tolls_amount,fare_amount,total_amount
0,2012-05-05 22:46:05 UTC,-74.00979,40.712483,-73.959293,40.768908,1,5.2,0.0,16.9,19.9
1,2010-12-21 13:08:00 UTC,-73.982422,40.739847,-73.981658,40.768732,2,2.64,0.0,14.9,15.4
2,2009-03-28 20:30:35 UTC,-73.973926,40.757725,-73.981695,40.761591,1,0.5,0.0,4.6,4.6
3,2009-08-23 23:59:22 UTC,-73.783319,40.64848,-73.893649,40.646566,1,8.3,0.0,18.9,18.9
4,2013-12-09 15:03:00 UTC,-73.99095,40.749772,-73.870807,40.77407,1,9.44,5.33,29.0,34.83
5,2012-03-30 18:28:20 UTC,-73.976148,40.776154,-74.010156,40.715113,1,5.7,0.0,17.3,18.8
6,2014-12-08 21:50:00 UTC,-73.994802,40.720612,-73.949125,40.668893,1,5.33,0.0,22.0,27.0
7,2012-03-04 00:57:00 UTC,-74.005625,40.734517,-73.952492,40.725197,1,7.33,0.0,20.5,23.5
8,2014-05-17 15:15:00 UTC,-73.99955,40.7606,-73.99965,40.72522,1,5.57,0.0,31.0,33.5
9,2009-11-20 10:54:26 UTC,-73.963112,40.758715,-74.004588,40.710867,2,5.8,0.0,15.3,15.8
10,2014-05-20 23:09:00 UTC,-73.995203,40.727307,-73.948775,40.813487,1,10.31,0.0,33.5,38.0
11,2014-10-06 15:16:00 UTC,-73.98013,40.76091,-73.86173,40.76833,2,11.47,5.33,36.5,47.33
12,2014-12-08 21:50:00 UTC,-73.870867,40.773782,-74.003297,40.708215,2,11.81,0.0,33.5,37.5
13,2010-05-26 16:15:03 UTC,-74.002922,40.714474,-73.978505,40.75828,1,6.1,0.0,20.9,25.76
14,2014-05-17 15:15:00 UTC,-73.980682,40.734032,-73.961948,40.755545,1,2.2,0.0,22.5,23.0
15,2009-11-01 02:59:23 UTC,-74.006934,40.734067,-73.895708,40.851511,4,12.1,0.0,28.5,29.5
16,2014-05-17 15:15:00 UTC,-73.991745,40.749897,-74.014913,40.709987,1,4.44,0.0,22.0,26.9
17,2014-07-11 15:47:07 UTC,-73.975224,40.757659,-73.997157,40.714348,2,4.7,0.0,19.5,22.0
18,2009-05-28 13:14:08 UTC,-73.978569,40.75185,-74.004371,40.710045,1,4.8,0.0,15.7,15.7
